mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
recycle-five-♠,participant,200,100,1,0.005,1,0.5025641025641026,0.4323870572618535,0.5727411478663516,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
recycle-five-♣,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
recycle-five-♦,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
royal-marriage,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
score,participant,200,100,587,0.76,152,0.44709345106696097,0.3155432717236679,0.578643630410254,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
scuttle,participant,200,100,112,0.265,53,'-0.11926977687626772,'-0.2768830583918884,0.03834350463935299,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
seven-topdeck,participant,200,100,30,0.125,25,'-0.09496124031007752,'-0.3058739208301531,0.11595144020999801,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
six-dig,participant,200,100,37,0.135,27,'-0.1899224806201551,'-0.3927536909569845,0.012908729716674283,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
solo-wild,participant,200,100,16,0.06,12,'-0.44384057971014496,'-0.6160546555729308,'-0.2716265038473591,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
spade-recovery,participant,200,100,8,0.04,8,0.22222222222222227,'-0.1199413329323733,0.5643857773768178,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
