mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
club-foundation,participant,200,100,32,0.15,30,0.11785714285714283,'-0.07303768615943876,0.3087519718737244,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
club-foundation-bonus,participant,200,100,12,0.06,12,0.048128342245989275,'-0.25472449221855176,0.3509811767105303,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
counter,participant,200,100,75,0.295,59,'-0.03695408734602462,'-0.19060904400090756,0.11670086930885831,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
deep-draw,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
deep-draw-♠,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
diamond-mimic-paired-row-exchange-pr,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
diamond-mimic-row-exchange-er,participant,200,100,17,0.075,15,'-0.3967213114754099,'-0.5833289045696834,'-0.2101137183811363,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
diamond-mimic-row-exchange-pr,participant,200,100,9,0.045,9,'-0.13026315789473686,'-0.4731869539578308,0.21266063816835706,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
disrupt,participant,200,100,133,0.45,90,'-0.030615400474177934,'-0.1705524052996338,0.10932160435127794,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
draw,participant,200,100,666,0.77,154,'-0.14159038901601834,'-0.30339794963528766,0.02021717160325101,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
effect-ace,participant,200,100,7,0.03,6,0.17187499999999994,'-0.2118926502567423,0.5556426502567422,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
effect-four,participant,200,100,26,0.105,21,'-0.16685393258426973,'-0.3884070213932367,0.05469915622469726,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
effect-private-choice,participant,200,100,109,0.22,44,'-0.18131868131868129,'-0.34599711078183965,'-0.016640251855522925,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
effect-red-joker,participant,200,100,14,0.065,13,'-0.1774193548387097,'-0.45364207205365475,0.09880336237623538,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
effect-three,participant,200,100,32,0.105,21,'-0.2780898876404494,'-0.48154001736435226,'-0.07463975791654653,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
eight-aegis-field,participant,200,100,66,0.205,41,'-0.11175616835994195,'-0.28455592799933166,0.06104359127944775,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
eight-scuttle,participant,200,100,3,0.015,3,0.5076923076923077,0.4375226451732364,0.577861970211379,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
eight-spade-free-scuttle,participant,200,100,13,0.065,13,0.04116424116424111,'-0.23924276925039417,0.3215712515788764,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
exhausted-pass,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
face-down,participant,200,100,154,0.545,109,0.010205133491392626,'-0.12979199568036529,0.15020226266315054,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
face-up-draw,participant,200,100,51,0.14,28,'-0.12478991596638661,'-0.3206622326145264,0.07108240068175323,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-gy-bottom,participant,200,100,4,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-recycle,participant,200,100,21,0.065,13,'-0.2661290322580645,'-0.5214340897608873,'-0.010823974755241716,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-refine,participant,200,100,5,0.02,4,'-0.2551546391752577,'-0.6852920470164867,0.1749827686659713,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-exchange-er,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-exchange-pr,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-10-♠,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-3-♦,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-4-♥,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-5-♥,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-8-♥,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-A-♠,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-A-♣,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-J-♠,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-K-♦,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-Q-♣,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♠,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♣,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♦,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
